dimension,grupo,n,rmse,mae,sesgo_medio,r2,sd_real,rmse_ic_inferior,rmse_ic_superior,sesgo_ic_inferior,sesgo_ic_superior,sesgo_relativo_ic_inferior,sesgo_relativo_ic_superior,concluyente,sesgo_significativo,sesgo_especifico
nombre_colegio,STU,232,40.99906050684017,33.25893159946164,0.5802899366590742,0.1785721306318102,45.33432886168388,37.62638562316248,44.53440894639634,-4.645669277496027,5.691391720048351,-1.8508889477033394,8.069228745146692,True,False,False
nombre_colegio,VWX,237,39.618000080327455,32.24789811660461,-5.268057317127485,0.21097658878058057,44.69570329315687,36.46026976938689,42.590829847524006,-10.341951385079557,-0.34880936308400234,-8.007423134820435,1.8577131973463314,True,True,False
nombre_colegio,XYZ,200,38.98442840190223,30.850417083898,-3.8386865704803963,0.1856813275828748,43.309426596998534,35.06518631647422,42.328226300126566,-8.966833857526861,1.2762853549024737,-6.355871236863109,3.432626037820018,True,False,False
nombre_colegio,YZA,231,41.455567056756024,33.96319024739164,-3.64306233989099,0.12806484647566763,44.49209320755583,38.085692633598974,44.862055237529546,-8.679569600433766,1.8217442295626516,-6.298586926006759,3.9954305619072765,True,False,False
periodo,I,1835,42.01329219008748,33.94693320141722,-1.8632398914774269,0.2972375151742044,50.13035709389462,39.94824785986337,43.97671411246145,-4.658723885311003,0.7354359576827457,-1.2963832252200531,2.165343065967055,True,False,False
periodo,II,1674,39.92690145043419,31.998203066218455,-2.946016042090686,0.18368220533103874,44.204423636491896,38.61102849112639,41.03393503708604,-4.40675882534468,-1.263267391959642,-2.2534896085693243,1.1011997042224773,True,True,False
naturaleza_colegio · zona,Privada · Rural,925,40.836412003551445,32.863598272734414,-2.934208124373292,0.1898087027194909,45.39297749126406,39.912577540000264,41.88014855109821,-5.267918819762936,0.832193575082272,-3.1975800393412923,2.2316148479629083,True,False,False
naturaleza_colegio · zona,Privada · Urbana,925,39.64389115010583,31.983320252590918,-2.6720708397362443,0.17022298356083276,43.544213943055254,37.74627183450275,41.258221563250075,-9.360518436881136,2.1464369050753893,-5.786290252741114,3.8816268761342068,True,False,False
naturaleza_colegio · zona,Pública · Rural,910,44.292037023821415,35.94291339665274,-1.0410765649506066,0.16174310769445943,48.403397043679206,43.071810559377546,45.668850269529315,-3.751209902455755,1.2515423008600821,-1.0491201559512582,3.8882546608649706,True,False,False
naturaleza_colegio · zona,Pública · Urbana,749,38.77424273174511,30.929457317183388,-2.9605985839980145,0.17435688919234904,42.70092214365844,35.7995659641548,41.45556705675601,-4.43822540649711,-0.0007448265133545742,-2.757699750102332,1.7474561055454019,True,True,False
sexo · estrato,Femenino · 1,390,40.809966282727686,32.261364268319554,-2.10234697374604,0.14264827935844349,44.13104657309495,38.90392120844052,42.49117576591649,-5.797971376209648,1.6569207142911597,-3.331113365530856,3.3932866126648538,True,False,False
sexo · estrato,Femenino · 2,389,42.28104393287148,33.93033465572491,-1.8764992103345606,0.11260271733583826,44.94129599673871,39.21106809921208,45.482089818567275,-6.7497334037891665,3.056694389573754,-4.372926074716774,5.808406866277611,True,False,False
sexo · estrato,Femenino · 3,383,40.31382425983232,32.03629203209868,-4.463956165786951,0.11276290438431946,42.85503538597737,37.56591599214886,43.07155303751578,-8.038737644571386,-0.613827439580236,-4.732561085992254,1.030021607483586,True,True,False
sexo · estrato,Femenino · 4,247,39.076411806834436,30.837880388541894,-1.1798586766022756,0.09330086875231991,41.12103158165845,35.25075213234206,42.29209527609467,-5.416953520520179,3.440193113193802,-2.355083371943706,4.950706246955402,True,False,False
sexo · estrato,Femenino · 5,209,41.2660970573304,33.708172229408376,0.7700500129955944,0.14332598510217143,44.691720490296355,36.70097692341021,46.310902156494926,-3.3999819765331423,5.07867913081928,-0.7613577410544001,7.480460429411585,True,False,False
sexo · estrato,Femenino · 6,140,35.914083239635985,30.00207191768976,-4.232501979348061,0.11382124658938697,38.28782849541277,31.95357156953576,39.86779861566292,-11.493099229725228,2.5855199228026158,-8.82607451147436,4.6391714572301055,True,False,False
sexo · estrato,Masculino · 1,390,42.70478759852252,34.375212672455824,-1.407475178874245,0.08171394943823773,44.62159349490617,40.426525876583035,45.06164811384,-6.513590357912935,3.203929410581057,-3.2081743326260326,5.129885966422481,True,False,False
sexo · estrato,Masculino · 2,385,42.44964345503749,33.84922531570937,-1.1136540828059809,0.09077940450229038,44.576315343581165,38.52072964028972,45.38665098007631,-4.4922878095976495,1.9360396251827854,-2.072967695279947,4.380733889795271,True,False,False
sexo · estrato,Masculino · 3,382,43.15863743078969,35.34431387632078,0.17035724501479907,0.0876744967311236,45.24410597650511,40.47776353595609,45.87174810464247,-3.58111433049988,4.431729410852245,-1.1666062032099762,6.444056074327969,True,False,False
sexo · estrato,Masculino · 4,246,41.046453268655384,33.973114502448965,-5.711468595235714,0.0816741826208498,42.92020138283358,37.85073800957834,44.20359794304925,-12.134216408408534,1.207886990307638,-9.138176387145238,3.1651447799491215,True,False,False
sexo · estrato,Masculino · 5,209,38.317807354942744,30.778111101804885,-2.9715767812627787,0.1986846731804215,42.908210292314806,34.23927130123403,41.738995793613455,-9.30673656670878,3.9164615592835856,-6.779716026683959,6.318471679298796,True,False,False
sexo · estrato,Masculino · 6,139,36.845878302769314,30.322329248935386,-10.283423870305478,-0.044331177810540856,36.1857558306288,32.571948880596636,40.615354926808656,-17.206855820876452,-3.25096872382028,-15.556198809600504,-0.38726297294815026,True,True,True
